2022-09-03_13:54:25 MEM FREE: 20,8577 MEM TOTAL: 513
2022-09-03_13:54:28 MEM FREE: 20,4678 MEM TOTAL: 513
2022-09-03_13:54:31 MEM FREE: 21,8324 MEM TOTAL: 513
2022-09-03_13:54:34 MEM FREE: 25,1462 MEM TOTAL: 513
2022-09-03_13:54:37 MEM FREE: 24,5614 MEM TOTAL: 513
2022-09-03_13:54:40 MEM FREE: 24,5614 MEM TOTAL: 513
2022-09-03_13:54:43 MEM FREE: 22,6121 MEM TOTAL: 513
2022-09-03_13:54:46 MEM FREE: 21,2476 MEM TOTAL: 513
2022-09-03_13:54:49 MEM FREE: 21,2476 MEM TOTAL: 513
2022-09-03_13:54:53 MEM FREE: 21,4425 MEM TOTAL: 513
2022-09-03_13:55:02 MEM FREE: 25,3411 MEM TOTAL: 513
2022-09-03_13:55:05 MEM FREE: 26,1209 MEM TOTAL: 513
2022-09-03_13:55:08 MEM FREE: 22,6121 MEM TOTAL: 513
2022-09-03_13:55:19 MEM FREE: 31,5789 MEM TOTAL: 513
2022-09-03_13:55:22 MEM FREE: 23,3918 MEM TOTAL: 513
2022-09-03_13:55:26 MEM FREE: 24,7563 MEM TOTAL: 513
2022-09-03_13:55:30 MEM FREE: 29,0448 MEM TOTAL: 513
2022-09-03_14:19:48 MEM FREE: 46,0375 MEM TOTAL: 3836
2022-09-03_14:19:51 MEM FREE: 46,0375 MEM TOTAL: 3836
2022-09-03_14:19:54 MEM FREE: 46,0375 MEM TOTAL: 3836
2022-09-03_14:19:57 MEM FREE: 46,0375 MEM TOTAL: 3836
2022-09-03_14:20:00 MEM FREE: 45,4901 MEM TOTAL: 3836
2022-09-03_14:20:03 MEM FREE: 44,7341 MEM TOTAL: 3836
2022-09-03_14:20:06 MEM FREE: 44,0042 MEM TOTAL: 3836
2022-09-03_14:20:09 MEM FREE: 43,2221 MEM TOTAL: 3836
2022-09-03_14:20:13 MEM FREE: 42,5443 MEM TOTAL: 3836
2022-09-03_14:20:16 MEM FREE: 41,8665 MEM TOTAL: 3836
2022-09-03_14:20:19 MEM FREE: 41,0584 MEM TOTAL: 3836
2022-09-03_14:20:22 MEM FREE: 40,3545 MEM TOTAL: 3836
2022-09-03_14:20:25 MEM FREE: 39,5985 MEM TOTAL: 3836
2022-09-03_14:20:28 MEM FREE: 38,8686 MEM TOTAL: 3836
2022-09-03_14:20:31 MEM FREE: 38,1648 MEM TOTAL: 3836
2022-09-03_14:20:34 MEM FREE: 37,3827 MEM TOTAL: 3836
2022-09-03_14:20:37 MEM FREE: 36,6528 MEM TOTAL: 3836
2022-09-03_14:20:40 MEM FREE: 35,8968 MEM TOTAL: 3836
2022-09-03_14:20:43 MEM FREE: 35,1929 MEM TOTAL: 3836
2022-09-03_14:20:46 MEM FREE: 34,463 MEM TOTAL: 3836
2022-09-03_14:20:49 MEM FREE: 33,6809 MEM TOTAL: 3836
2022-09-03_14:20:52 MEM FREE: 32,9249 MEM TOTAL: 3836
2022-09-03_14:20:55 MEM FREE: 32,195 MEM TOTAL: 3836
2022-09-03_14:20:58 MEM FREE: 31,4129 MEM TOTAL: 3836
2022-09-03_14:21:01 MEM FREE: 30,7091 MEM TOTAL: 3836
2022-09-03_14:21:04 MEM FREE: 29,927 MEM TOTAL: 3836
2022-09-03_14:21:07 MEM FREE: 29,2231 MEM TOTAL: 3836
2022-09-03_14:21:10 MEM FREE: 28,5193 MEM TOTAL: 3836
2022-09-03_14:21:13 MEM FREE: 27,7372 MEM TOTAL: 3836
2022-09-03_14:21:16 MEM FREE: 27,0594 MEM TOTAL: 3836
2022-09-03_14:21:19 MEM FREE: 26,2774 MEM TOTAL: 3836
2022-09-03_14:21:22 MEM FREE: 25,5214 MEM TOTAL: 3836
2022-09-03_14:21:25 MEM FREE: 24,7914 MEM TOTAL: 3836
2022-09-03_14:21:28 MEM FREE: 24,0876 MEM TOTAL: 3836
2022-09-03_14:21:31 MEM FREE: 23,3316 MEM TOTAL: 3836
2022-09-03_14:21:34 MEM FREE: 22,6277 MEM TOTAL: 3836
2022-09-03_14:21:37 MEM FREE: 21,8717 MEM TOTAL: 3836
2022-09-03_14:21:40 MEM FREE: 21,0897 MEM TOTAL: 3836
2022-09-03_14:21:43 MEM FREE: 20,3597 MEM TOTAL: 3836
2022-09-03_14:21:46 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:21:49 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:21:52 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:21:55 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:21:58 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:22:01 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:22:04 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:22:07 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:22:10 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:22:13 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:22:16 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:22:19 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:22:22 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:22:25 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:22:28 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:22:31 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:34 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:37 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:40 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:43 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:46 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:49 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:52 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:56 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:22:59 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:02 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:05 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:08 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:11 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:14 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:17 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:20 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:23:23 MEM FREE: 19,4734 MEM TOTAL: 3836
2022-09-03_14:23:26 MEM FREE: 19,4473 MEM TOTAL: 3836
2022-09-03_14:23:29 MEM FREE: 19,4213 MEM TOTAL: 3836
2022-09-03_14:23:32 MEM FREE: 19,3952 MEM TOTAL: 3836
2022-09-03_14:23:35 MEM FREE: 19,3952 MEM TOTAL: 3836
2022-09-03_14:23:38 MEM FREE: 19,3691 MEM TOTAL: 3836
2022-09-03_14:23:41 MEM FREE: 19,3691 MEM TOTAL: 3836
2022-09-03_14:23:44 MEM FREE: 19,3431 MEM TOTAL: 3836
2022-09-03_14:23:47 MEM FREE: 19,317 MEM TOTAL: 3836
2022-09-03_14:23:50 MEM FREE: 19,317 MEM TOTAL: 3836
2022-09-03_14:23:53 MEM FREE: 19,2909 MEM TOTAL: 3836
2022-09-03_14:23:56 MEM FREE: 19,2909 MEM TOTAL: 3836
2022-09-03_14:23:59 MEM FREE: 19,2649 MEM TOTAL: 3836
2022-09-03_14:24:02 MEM FREE: 19,2388 MEM TOTAL: 3836
2022-09-03_14:24:05 MEM FREE: 19,2127 MEM TOTAL: 3836
2022-09-03_14:24:08 MEM FREE: 19,2127 MEM TOTAL: 3836
2022-09-03_14:24:11 MEM FREE: 19,1867 MEM TOTAL: 3836
2022-09-03_14:24:14 MEM FREE: 19,1606 MEM TOTAL: 3836
2022-09-03_14:24:17 MEM FREE: 19,1606 MEM TOTAL: 3836
2022-09-03_14:24:20 MEM FREE: 19,1084 MEM TOTAL: 3836
2022-09-03_14:24:23 MEM FREE: 19,0563 MEM TOTAL: 3836
2022-09-03_14:24:26 MEM FREE: 19,0563 MEM TOTAL: 3836
2022-09-03_14:24:29 MEM FREE: 18,9781 MEM TOTAL: 3836
2022-09-03_14:24:32 MEM FREE: 18,952 MEM TOTAL: 3836
2022-09-03_14:24:35 MEM FREE: 18,926 MEM TOTAL: 3836
2022-09-03_14:24:38 MEM FREE: 18,8999 MEM TOTAL: 3836
2022-09-03_14:24:41 MEM FREE: 18,8738 MEM TOTAL: 3836
2022-09-03_14:24:45 MEM FREE: 18,8217 MEM TOTAL: 3836
2022-09-03_14:24:48 MEM FREE: 18,8217 MEM TOTAL: 3836
2022-09-03_14:24:51 MEM FREE: 18,8217 MEM TOTAL: 3836
2022-09-03_14:24:54 MEM FREE: 18,7956 MEM TOTAL: 3836
2022-09-03_14:24:57 MEM FREE: 18,7696 MEM TOTAL: 3836
2022-09-03_14:25:00 MEM FREE: 18,7435 MEM TOTAL: 3836
2022-09-03_14:25:03 MEM FREE: 18,7174 MEM TOTAL: 3836
2022-09-03_14:25:06 MEM FREE: 18,6913 MEM TOTAL: 3836
2022-09-03_14:25:09 MEM FREE: 18,6653 MEM TOTAL: 3836
2022-09-03_14:25:12 MEM FREE: 18,6653 MEM TOTAL: 3836
2022-09-03_14:25:15 MEM FREE: 18,6653 MEM TOTAL: 3836
2022-09-03_14:25:18 MEM FREE: 18,6392 MEM TOTAL: 3836
2022-09-03_14:25:21 MEM FREE: 18,561 MEM TOTAL: 3836
2022-09-03_14:25:24 MEM FREE: 44,5516 MEM TOTAL: 3836
2022-09-03_14:27:12 MEM FREE: 44,5255 MEM TOTAL: 3836
2022-09-03_14:27:15 MEM FREE: 44,5255 MEM TOTAL: 3836
2022-09-03_14:27:18 MEM FREE: 44,5255 MEM TOTAL: 3836
2022-09-03_14:27:21 MEM FREE: 43,926 MEM TOTAL: 3836
2022-09-03_14:27:24 MEM FREE: 43,2482 MEM TOTAL: 3836
2022-09-03_14:27:27 MEM FREE: 44,3431 MEM TOTAL: 3836
2022-09-03_14:27:30 MEM FREE: 44,3431 MEM TOTAL: 3836
2022-09-03_14:27:33 MEM FREE: 44,3431 MEM TOTAL: 3836
2022-09-03_14:27:36 MEM FREE: 44,3431 MEM TOTAL: 3836
2022-09-03_14:27:39 MEM FREE: 44,1345 MEM TOTAL: 3836
2022-09-03_14:27:43 MEM FREE: 43,5089 MEM TOTAL: 3836
2022-09-03_14:27:46 MEM FREE: 42,8832 MEM TOTAL: 3836
2022-09-03_14:27:49 MEM FREE: 42,3358 MEM TOTAL: 3836
2022-09-03_14:27:52 MEM FREE: 41,7883 MEM TOTAL: 3836
2022-09-03_14:27:55 MEM FREE: 41,1627 MEM TOTAL: 3836
2022-09-03_14:27:58 MEM FREE: 40,5631 MEM TOTAL: 3836
2022-09-03_14:28:01 MEM FREE: 39,9374 MEM TOTAL: 3836
2022-09-03_14:28:04 MEM FREE: 39,3118 MEM TOTAL: 3836
2022-09-03_14:28:07 MEM FREE: 38,7122 MEM TOTAL: 3836
2022-09-03_14:28:10 MEM FREE: 38,0865 MEM TOTAL: 3836
2022-09-03_14:28:13 MEM FREE: 37,4609 MEM TOTAL: 3836
2022-09-03_14:28:16 MEM FREE: 36,8874 MEM TOTAL: 3836
2022-09-03_14:28:19 MEM FREE: 36,2878 MEM TOTAL: 3836
2022-09-03_14:28:22 MEM FREE: 35,6882 MEM TOTAL: 3836
2022-09-03_14:28:25 MEM FREE: 35,0626 MEM TOTAL: 3836
2022-09-03_14:28:28 MEM FREE: 34,463 MEM TOTAL: 3836
2022-09-03_14:28:31 MEM FREE: 33,8373 MEM TOTAL: 3836
2022-09-03_14:28:34 MEM FREE: 33,2377 MEM TOTAL: 3836
2022-09-03_14:28:37 MEM FREE: 32,6121 MEM TOTAL: 3836
2022-09-03_14:28:40 MEM FREE: 31,9864 MEM TOTAL: 3836
2022-09-03_14:28:43 MEM FREE: 31,4129 MEM TOTAL: 3836
2022-09-03_14:28:46 MEM FREE: 30,8133 MEM TOTAL: 3836
2022-09-03_14:28:49 MEM FREE: 30,1877 MEM TOTAL: 3836
2022-09-03_14:28:52 MEM FREE: 29,6663 MEM TOTAL: 3836
2022-09-03_14:28:55 MEM FREE: 29,0407 MEM TOTAL: 3836
2022-09-03_14:28:58 MEM FREE: 28,4411 MEM TOTAL: 3836
2022-09-03_14:29:01 MEM FREE: 27,8415 MEM TOTAL: 3836
2022-09-03_14:29:04 MEM FREE: 27,2158 MEM TOTAL: 3836
2022-09-03_14:29:07 MEM FREE: 26,6163 MEM TOTAL: 3836
2022-09-03_14:29:10 MEM FREE: 25,9906 MEM TOTAL: 3836
2022-09-03_14:29:13 MEM FREE: 25,4171 MEM TOTAL: 3836
2022-09-03_14:29:17 MEM FREE: 24,7914 MEM TOTAL: 3836
2022-09-03_14:29:20 MEM FREE: 24,1658 MEM TOTAL: 3836
2022-09-03_14:29:23 MEM FREE: 23,6444 MEM TOTAL: 3836
2022-09-03_14:29:26 MEM FREE: 23,0188 MEM TOTAL: 3836
2022-09-03_14:29:29 MEM FREE: 22,3931 MEM TOTAL: 3836
2022-09-03_14:29:32 MEM FREE: 21,8457 MEM TOTAL: 3836
2022-09-03_14:29:35 MEM FREE: 21,22 MEM TOTAL: 3836
2022-09-03_14:29:38 MEM FREE: 20,6204 MEM TOTAL: 3836
2022-09-03_14:29:41 MEM FREE: 19,9948 MEM TOTAL: 3836
2022-09-03_14:29:44 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:29:47 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:29:50 MEM FREE: 19,8644 MEM TOTAL: 3836
2022-09-03_14:29:53 MEM FREE: 19,8384 MEM TOTAL: 3836
2022-09-03_14:29:56 MEM FREE: 19,8123 MEM TOTAL: 3836
2022-09-03_14:29:59 MEM FREE: 19,7862 MEM TOTAL: 3836
2022-09-03_14:30:02 MEM FREE: 19,7862 MEM TOTAL: 3836
2022-09-03_14:30:05 MEM FREE: 19,7602 MEM TOTAL: 3836
2022-09-03_14:30:08 MEM FREE: 19,7341 MEM TOTAL: 3836
2022-09-03_14:30:11 MEM FREE: 19,682 MEM TOTAL: 3836
2022-09-03_14:33:08 MEM FREE: 44,682 MEM TOTAL: 3836
2022-09-03_14:33:11 MEM FREE: 44,682 MEM TOTAL: 3836
2022-09-03_14:33:14 MEM FREE: 44,5777 MEM TOTAL: 3836
2022-09-03_14:33:17 MEM FREE: 44,5777 MEM TOTAL: 3836
2022-09-03_14:33:20 MEM FREE: 44,2388 MEM TOTAL: 3836
2022-09-03_14:33:23 MEM FREE: 44,2388 MEM TOTAL: 3836
2022-09-03_14:33:26 MEM FREE: 44,0302 MEM TOTAL: 3836
2022-09-03_14:33:29 MEM FREE: 43,4567 MEM TOTAL: 3836
2022-09-03_14:33:32 MEM FREE: 42,8571 MEM TOTAL: 3836
2022-09-03_14:33:35 MEM FREE: 42,3097 MEM TOTAL: 3836
2022-09-03_14:33:38 MEM FREE: 41,658 MEM TOTAL: 3836
2022-09-03_14:33:41 MEM FREE: 41,0323 MEM TOTAL: 3836
2022-09-03_14:33:44 MEM FREE: 40,4588 MEM TOTAL: 3836
2022-09-03_14:33:47 MEM FREE: 39,8332 MEM TOTAL: 3836
2022-09-03_14:33:50 MEM FREE: 39,2336 MEM TOTAL: 3836
2022-09-03_14:33:53 MEM FREE: 38,634 MEM TOTAL: 3836
2022-09-03_14:33:56 MEM FREE: 38,0344 MEM TOTAL: 3836
2022-09-03_14:33:59 MEM FREE: 37,4088 MEM TOTAL: 3836
2022-09-03_14:34:02 MEM FREE: 36,7831 MEM TOTAL: 3836
2022-09-03_14:34:05 MEM FREE: 36,2096 MEM TOTAL: 3836
2022-09-03_14:34:08 MEM FREE: 35,6361 MEM TOTAL: 3836
2022-09-03_14:34:11 MEM FREE: 35,0104 MEM TOTAL: 3836
2022-09-03_14:34:14 MEM FREE: 34,3848 MEM TOTAL: 3836
2022-09-03_14:34:17 MEM FREE: 33,7591 MEM TOTAL: 3836
2022-09-03_14:34:20 MEM FREE: 33,1595 MEM TOTAL: 3836
2022-09-03_14:34:23 MEM FREE: 32,586 MEM TOTAL: 3836
2022-09-03_14:34:26 MEM FREE: 31,9604 MEM TOTAL: 3836
2022-09-03_14:34:30 MEM FREE: 31,3608 MEM TOTAL: 3836
2022-09-03_14:34:33 MEM FREE: 30,7612 MEM TOTAL: 3836
2022-09-03_14:34:36 MEM FREE: 30,1616 MEM TOTAL: 3836
2022-09-03_14:34:39 MEM FREE: 29,5099 MEM TOTAL: 3836
2022-09-03_14:34:42 MEM FREE: 28,9364 MEM TOTAL: 3836
2022-09-03_14:34:45 MEM FREE: 28,3107 MEM TOTAL: 3836
2022-09-03_14:34:48 MEM FREE: 27,7112 MEM TOTAL: 3836
2022-09-03_14:34:51 MEM FREE: 27,1376 MEM TOTAL: 3836
2022-09-03_14:34:54 MEM FREE: 26,512 MEM TOTAL: 3836
2022-09-03_14:34:57 MEM FREE: 25,9385 MEM TOTAL: 3836
2022-09-03_14:35:00 MEM FREE: 25,3389 MEM TOTAL: 3836
2022-09-03_14:35:03 MEM FREE: 24,7132 MEM TOTAL: 3836
2022-09-03_14:35:06 MEM FREE: 24,1137 MEM TOTAL: 3836
2022-09-03_14:35:09 MEM FREE: 23,488 MEM TOTAL: 3836
2022-09-03_14:35:12 MEM FREE: 22,8884 MEM TOTAL: 3836
2022-09-03_14:35:15 MEM FREE: 22,2888 MEM TOTAL: 3836
2022-09-03_14:35:18 MEM FREE: 21,7153 MEM TOTAL: 3836
2022-09-03_14:35:21 MEM FREE: 21,1418 MEM TOTAL: 3836
2022-09-03_14:35:24 MEM FREE: 20,4901 MEM TOTAL: 3836
2022-09-03_14:35:27 MEM FREE: 19,9426 MEM TOTAL: 3836
2022-09-03_14:35:30 MEM FREE: 19,9166 MEM TOTAL: 3836
2022-09-03_14:35:33 MEM FREE: 19,8905 MEM TOTAL: 3836
2022-09-03_14:35:36 MEM FREE: 19,8644 MEM TOTAL: 3836
2022-09-03_14:35:39 MEM FREE: 19,7862 MEM TOTAL: 3836
2022-09-03_14:35:42 MEM FREE: 19,7862 MEM TOTAL: 3836
2022-09-03_14:35:45 MEM FREE: 19,7602 MEM TOTAL: 3836
2022-09-03_14:35:48 MEM FREE: 19,7341 MEM TOTAL: 3836
2022-09-03_14:35:51 MEM FREE: 19,7341 MEM TOTAL: 3836
2022-09-03_14:35:54 MEM FREE: 19,708 MEM TOTAL: 3836
2022-09-03_14:35:57 MEM FREE: 19,682 MEM TOTAL: 3836
2022-09-03_14:36:00 MEM FREE: 19,682 MEM TOTAL: 3836
2022-09-03_14:36:03 MEM FREE: 19,6559 MEM TOTAL: 3836
2022-09-03_14:36:06 MEM FREE: 19,6298 MEM TOTAL: 3836
2022-09-03_14:36:10 MEM FREE: 19,6298 MEM TOTAL: 3836
2022-09-03_14:36:13 MEM FREE: 19,6038 MEM TOTAL: 3836
2022-09-03_14:36:16 MEM FREE: 19,5777 MEM TOTAL: 3836
2022-09-03_14:36:19 MEM FREE: 19,5777 MEM TOTAL: 3836
2022-09-03_14:36:22 MEM FREE: 19,5516 MEM TOTAL: 3836
2022-09-03_14:36:25 MEM FREE: 19,5516 MEM TOTAL: 3836
2022-09-03_14:36:28 MEM FREE: 19,5255 MEM TOTAL: 3836
2022-09-03_14:36:31 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:36:34 MEM FREE: 19,4995 MEM TOTAL: 3836
2022-09-03_14:36:37 MEM FREE: 19,4734 MEM TOTAL: 3836
2022-09-03_14:36:40 MEM FREE: 19,4473 MEM TOTAL: 3836
2022-09-03_14:36:43 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:36:46 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:36:49 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:36:52 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:36:55 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:36:58 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:37:01 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:37:05 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:37:08 MEM FREE: 44,1606 MEM TOTAL: 3836
2022-09-03_14:37:11 MEM FREE: 44,1345 MEM TOTAL: 3836
2022-09-03_14:37:14 MEM FREE: 44,0302 MEM TOTAL: 3836
